"CleanedResort","OriginalResort"
"Espace Villard Correncon-Villard-de-Lans-Correncon-en-Vercors","Espace Villard Correncon-Villard-de-Lans-Correncon-en-Vercors"
"Val Cenis-Lanslevillard-Lanslebourg-Termignon","Val Cenis-Lanslevillard-Lanslebourg-Termignon"
"Isola 2000","Isola 2000"
"Obersaxen-Mundaun-Val Lumnezia","Obersaxen-Mundaun-Val Lumnezia"
"Les 7 Laux-Prapoutel-Le Pleynet-Pipay","Les 7 Laux-Prapoutel-Le Pleynet-Pipay"
"Corvatsch-Furtschellas","Corvatsch-Furtschellas"
"Sugarloaf","Sugarloaf"
"Silver Star","Silver Star"
"Taos","Taos"
"Nassfeld-Hermagor","Nassfeld-Hermagor"
"Sunshine Village","Sunshine Village"
"Mondole Ski-Artesina-Frabosa Soprana-Prato Nevoso","Mondole Ski-Artesina-Frabosa Soprana-Prato Nevoso"
"Aletsch Arena-Riederalp-Bettmeralp-Fiesch Eggishorn","Aletsch Arena-Riederalp-Bettmeralp-Fiesch Eggishorn"
"Bad Kleinkirchheim-St Oswald","Bad Kleinkirchheim-St Oswald"
"Snowbird","Snowbird"
"Bardonecchia","Bardonecchia"
"Saint-Lary-Soulan","Saint-Lary-Soulan"
"Orcieres Merlette 1850","Orcieres Merlette 1850"
"Devoluy-Superdevoluy-La Joue du Loup","Devoluy-Superdevoluy-La Joue du Loup"
"Grand Tourmalet-Pic du Midi-La Mongie-Bareges","Grand Tourmalet-Pic du Midi-La Mongie-Bareges"
"Mt Rose","Mt Rose"
"Mt Buller","Mt Buller"
"Mt Baker","Mt Baker"
"Alpine Meadows","Alpine Meadows"
"Deer Valley","Deer Valley"
"Perisher","Perisher"
"Wolf Creek","Wolf Creek"
"Wenatchee-Mission Ridge","Wenatchee-Mission Ridge"
"Mt Bachelor","Mt Bachelor"
"Northstar California Resort","Northstar California Resort"
"Parsenn Davos Klosters","Parsenn Davos Klosters"
"Schweitzer Mountain Resort","Schweitzer Mountain Resort"
"Heavenly","Heavenly"
"Castle Mountain","Castle Mountain"
"Oberau Wildschonau","Oberau Wildschonau"
"Loveland","Loveland"
"Stratton","Stratton"
"Falls Creek","Falls Creek"
"Bald Mountain-Sun Valley","Bald Mountain-Sun Valley"
"re","re"
"Whitefish Mountain Resort","Whitefish Mountain Resort"
"Alto Sangro-Roccaraso-Rivisondoli","Alto Sangro-Roccaraso-Rivisondoli"
"Chamrousse","Chamrousse"
"Valberg-Beuil les Launes","Valberg-Beuil les Launes"
"Mt Hood Meadows","Mt Hood Meadows"
"Sugar Bowl","Sugar Bowl"
"Mammoth Mountain","Mammoth Mountain"
"Telluride","Telluride"
"Adelboden-Lenk-Chuenisbargli-Silleren-Hahnenmoos-Metsch","Adelboden-Lenk-Chuenisbargli-Silleren-Hahnenmoos-Metsch"
"Rinderberg-Saanerslochgrat-Horneggli-Zweisimmen-Saanenmoser-Schonried-St Stephan","Rinderberg-Saanerslochgrat-Horneggli-Zweisimmen-Saanenmoser-Schonried-St Stephan"
"Sugarbush","Sugarbush"
"Graukogel-Bad Gastein","Graukogel-Bad Gastein"
"Marmot Basin-Jasper","Marmot Basin-Jasper"
"Les Portes du Mont-Blanc-Combloux-Megeve le Jaillet-La Giettaz","Les Portes du Mont-Blanc-Combloux-Megeve le Jaillet-La Giettaz"
"Purgatory-Durango","Purgatory-Durango"
"Le Grand Bornand","Le Grand Bornand"
"Sunday River","Sunday River"
"Kaltenbach-Hochzillertal-Hochfugen-SKi-optimal-","Kaltenbach-Hochzillertal-Hochfugen-SKi-optimal-"
"Shigakogen Mountain Resort","Shigakogen Mountain Resort"
"Grimentz-Zinal","Grimentz-Zinal"
"Kimberley","Kimberley"
"Civetta-Alleghe-Selva di Cadore-Palafavera-Zoldo","Civetta-Alleghe-Selva di Cadore-Palafavera-Zoldo"
"Ax les Thermes","Ax les Thermes"
"Mzaar Kfardebian","Mzaar Kfardebian"
"Yellowstone Club","Yellowstone Club"
"Damuls Mellau","Damuls Mellau"
"Mont Tremblant","Mont Tremblant"
"Smugglers Notch","Smugglers Notch"
